blockid,miningpool
400736,AntPool
400737,AntPool
400738,BW.COM
400739,KnCMiner
400740,BTCC
400741,F2Pool
400742,F2Pool
400743,F2Pool
400744,AntPool
400745,AntPool
400746,AntPool
400747,BitFury
400748,F2Pool
400749,BW.COM
400750,BTCC
400751,F2Pool
400752,AntPool
400753,AntPool
400754,BitClub
400755,F2Pool
400756,F2Pool
400757,AntPool
400758,F2Pool
400759,F2Pool
400760,BTCC
400761,BTCC
400762,BitFury
400763,F2Pool
400764,BTCC
400765,SlushPool
400766,BTCC
400767,Solo CK
400768,BitClub
400769,SlushPool
400770,Solo CK
400771,AntPool
400772,KnCMiner
400773,F2Pool
400774,F2Pool
400775,BW.COM
400776,F2Pool
400777,KnCMiner
400778,AntPool
400779,F2Pool
400780,AntPool
400781,F2Pool
400782,BTCC
400783,AntPool
400784,BW.COM
400785,BTCC
400786,BitClub
400787,KanoPool
400788,F2Pool
400789,AntPool
400790,BTCC
400791,F2Pool
400792,F2Pool
400793,F2Pool
400794,BitFury
400795,AntPool
400796,BTCC
400797,F2Pool
400798,AntPool
400799,BTCC
400800,SlushPool
400801,AntPool
400802,SlushPool
400803,AntPool
400804,KnCMiner
400805,BTCC
400806,BitClub
400807,F2Pool
400808,AntPool
400809,AntPool
400810,AntPool
400811,F2Pool
400812,KanoPool
400813,F2Pool
400814,AntPool
400815,BW.COM
400816,BTCC
400817,F2Pool
400818,BitFury
400819,BW.COM
400820,AntPool
400821,F2Pool
400822,AntPool
400823,AntPool
400824,EclipseMC
400825,BTCC
400826,KanoPool
400827,BTCC
400828,AntPool
400829,F2Pool
400830,F2Pool
400831,AntPool
400832,KnCMiner
400833,BW.COM
400834,KnCMiner
400835,F2Pool
400836,BitFury
400837,BitClub
400838,KnCMiner
400839,BitClub
400840,AntPool
400841,AntPool
400842,F2Pool
400843,BitFury
400844,BW.COM
400845,BTCC
400846,BTCC
400847,F2Pool
400848,SlushPool
400849,BTCC
400850,BitFury
400851,AntPool
400852,AntPool
400853,BitClub
400854,AntPool
400855,Telco 214
400856,Eligius
400857,F2Pool
400858,BitFury
400859,AntPool
400860,BTCC
400861,BitFury
400862,AntPool
400863,BTCC
400864,AntPool
400865,F2Pool
400866,F2Pool
400867,BitFury
400868,AntPool
400869,F2Pool
400870,F2Pool
400871,F2Pool
400872,F2Pool
400873,AntPool
400874,BitClub
400875,F2Pool
400876,F2Pool
400877,F2Pool
400878,F2Pool
400879,BTCC
400880,KanoPool
400881,BitClub
400882,F2Pool
400883,F2Pool
400884,BitFury
400885,BitFury
400886,KnCMiner
400887,BTCC
400888,BW.COM
400889,BitClub
400890,BTCC
400891,Telco 214
400892,AntPool
400893,F2Pool
400894,Telco 214
400895,BTCC
400896,AntPool
400897,BitClub
400898,BitFury
400899,AntPool
400900,BTCC
400901,BitFury
400902,BitFury
400903,KnCMiner
400904,F2Pool
400905,AntPool
400906,KnCMiner
400907,BitFury
400908,AntPool
400909,BTCC
400910,F2Pool
400911,BitFury
400912,F2Pool
400913,AntPool
400914,F2Pool
400915,BitFury
400916,BitFury
400917,AntPool
400918,F2Pool
400919,AntPool
400920,AntPool
400921,Eligius
400922,F2Pool
400923,KnCMiner
400924,BW.COM
400925,BTCC
400926,F2Pool
400927,BitFury
400928,BitClub
400929,BitFury
400930,BitClub
400931,BitFury
400932,BitFury
400933,AntPool
400934,BitFury
400935,F2Pool
400936,AntPool
400937,AntPool
400938,BitFury
400939,BitFury
400940,KanoPool
400941,AntPool
400942,AntPool
400943,AntPool
400944,AntPool
400945,BitFury
400946,F2Pool
400947,F2Pool
400948,AntPool
400949,F2Pool
400950,BW.COM
400951,F2Pool
400952,BitFury
400953,SlushPool
400954,KnCMiner
400955,AntPool
400956,KanoPool
400957,AntPool
400958,BitFury
400959,F2Pool
400960,F2Pool
400961,BitFury
400962,BitFury
400963,BitFury
400964,F2Pool
400965,F2Pool
400966,BW.COM
400967,BitFury
400968,AntPool
400969,BitFury
400970,F2Pool
400971,BitFury
400972,F2Pool
400973,AntPool
400974,F2Pool
400975,SlushPool
400976,F2Pool
400977,AntPool
400978,BW.COM
400979,BTCC
400980,BW.COM
400981,F2Pool
400982,Solo CK
400983,BTCC
400984,AntPool
400985,F2Pool
400986,SlushPool
400987,F2Pool
400988,AntPool
400989,AntPool
400990,BTCC
400991,BitFury
400992,BTCC
400993,F2Pool
400994,BitFury
400995,BW.COM
400996,F2Pool
400997,F2Pool
400998,BitClub
400999,AntPool
401000,BTCC
401001,KnCMiner
401002,BTCC
401003,AntPool
401004,F2Pool
401005,BitFury
401006,AntPool
401007,KanoPool
401008,SlushPool
401009,BitClub
401010,SlushPool
401011,F2Pool
401012,AntPool
401013,BTCC
401014,BTCC
401015,BTCC
401016,AntPool
401017,F2Pool
401018,AntPool
401019,BitFury
401020,BitFury
401021,AntPool
401022,BitFury
401023,F2Pool
401024,AntPool
401025,BW.COM
401026,F2Pool
401027,BitFury
401028,BitClub
401029,F2Pool
401030,BitFury
401031,F2Pool
401032,F2Pool
401033,KnCMiner
401034,BTCC
401035,BW.COM
401036,BitFury
401037,F2Pool
401038,BTCC
401039,BTCC
401040,BitFury
401041,KanoPool
401042,SlushPool
401043,AntPool
401044,BTCC
401045,KnCMiner
401046,F2Pool
401047,AntPool
401048,BitFury
401049,BitFury
401050,AntPool
401051,BitFury
401052,BitFury
401053,AntPool
401054,BitFury
401055,SlushPool
401056,SlushPool
401057,BW.COM
401058,KanoPool
401059,SlushPool
401060,AntPool
401061,F2Pool
401062,F2Pool
401063,AntPool
401064,AntPool
401065,SlushPool
401066,AntPool
401067,F2Pool
401068,AntPool
401069,BW.COM
401070,BitFury
401071,BitFury
401072,Telco 214
401073,BTCC
401074,BitClub
401075,F2Pool
401076,BTCC
401077,KanoPool
401078,BTCC
401079,Eligius
401080,BTCC
401081,BTCC
401082,BitFury
401083,BitClub
401084,F2Pool
401085,BitFury
401086,F2Pool
401087,BitFury
401088,F2Pool
401089,BW.COM
401090,KnCMiner
401091,BTCC
401092,Solo CK
401093,AntPool
401094,1Hash
401095,BitFury
401096,AntPool
401097,SlushPool
401098,AntPool
401099,F2Pool
401100,F2Pool
401101,KnCMiner
401102,AntPool
401103,F2Pool
401104,BW.COM
401105,AntPool
401106,BTCC
401107,F2Pool
401108,AntPool
401109,BTCC
401110,F2Pool
401111,F2Pool
401112,BW.COM
401113,F2Pool
401114,KnCMiner
401115,BTCC
401116,Telco 214
401117,F2Pool
401118,AntPool
401119,SlushPool
401120,AntPool
401121,AntPool
401122,BTCC
401123,F2Pool
401124,F2Pool
401125,AntPool
401126,AntPool
401127,F2Pool
401128,AntPool
401129,KnCMiner
401130,F2Pool
401131,AntPool
401132,1Hash
401133,BW.COM
401134,BitFury
401135,BTCC
