Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others,,ALL,ANTPOOL,F2POOL,VIABTC,BTCCOM
2016-03-31 00:00:00 UTC,,2.56E+17,,,1.81E+17,4.95E+16,4.12E+16,,8.24E+15,2.56E+17,8.24E+15,,,8.24E+15,2.14E+17,,1.02E+18,2.56E+17,2.56E+17,0.00E+00,0.00E+00
2016-04-01 00:00:00 UTC,,3.62E+17,,,1.81E+17,4.12E+16,9.88E+16,,1.65E+16,3.13E+17,2.47E+16,,,1.65E+16,2.06E+17,,1.26E+18,3.62E+17,3.13E+17,0.00E+00,0.00E+00
2016-04-02 00:00:00 UTC,,3.39E+17,,,1.57E+17,4.13E+16,1.16E+17,8.26E+15,8.26E+15,2.48E+17,6.61E+16,,,8.26E+15,1.57E+17,,1.15E+18,3.39E+17,2.48E+17,0.00E+00,0.00E+00
2016-04-03 00:00:00 UTC,,3.07E+17,,,2.24E+17,4.15E+16,1.16E+17,,8.31E+15,2.74E+17,5.82E+16,,,,1.50E+17,,1.18E+18,3.07E+17,2.74E+17,0.00E+00,0.00E+00
2016-04-04 00:00:00 UTC,,3.33E+17,,,1.50E+17,1.33E+17,1.25E+17,8.32E+15,1.66E+16,3.75E+17,2.50E+16,,,,2.16E+17,,1.38E+18,3.33E+17,3.75E+17,0.00E+00,0.00E+00
2016-04-05 00:00:00 UTC,,3.73E+17,,,1.57E+17,9.94E+16,1.41E+17,8.28E+15,,2.73E+17,3.31E+16,8.28E+15,,2.48E+16,1.66E+17,,1.28E+18,3.73E+17,2.73E+17,0.00E+00,0.00E+00
2016-04-06 00:00:00 UTC,,3.39E+17,,,2.65E+17,5.79E+16,9.93E+16,,1.65E+16,3.56E+17,4.14E+16,,,8.27E+15,1.16E+17,,1.30E+18,3.39E+17,3.56E+17,0.00E+00,0.00E+00
2016-04-07 00:00:00 UTC,,3.19E+17,,,1.43E+17,6.72E+16,1.01E+17,8.40E+15,8.40E+15,2.94E+17,5.04E+16,,,,1.76E+17,,1.17E+18,3.19E+17,2.94E+17,0.00E+00,0.00E+00
2016-04-08 00:00:00 UTC,,4.14E+17,,,1.91E+17,4.97E+16,1.08E+17,,,2.82E+17,2.49E+16,,,,1.24E+17,,1.19E+18,4.14E+17,2.82E+17,0.00E+00,0.00E+00
2016-04-09 00:00:00 UTC,,3.78E+17,,,1.59E+17,7.55E+16,1.51E+17,,,3.02E+17,6.71E+16,,,8.39E+15,2.18E+17,,1.36E+18,3.78E+17,3.02E+17,0.00E+00,0.00E+00
2016-04-10 00:00:00 UTC,,3.25E+17,,,2.11E+17,9.74E+16,1.54E+17,,,3.25E+17,6.49E+16,8.12E+15,,1.62E+16,2.03E+17,,1.40E+18,3.25E+17,3.25E+17,0.00E+00,0.00E+00
2016-04-11 00:00:00 UTC,,3.07E+17,,,1.99E+17,7.46E+16,7.46E+16,,,3.98E+17,4.14E+16,,,,1.74E+17,,1.27E+18,3.07E+17,3.98E+17,0.00E+00,0.00E+00
